no,name,Type,Year,path,url
1,Thanet Extension Offshore Wind Farm Annex 11-1: Radar Line of Sight Analysis,LoS Analysis,2018,sources/osprey/thanet-extension.pdf,https://infrastructure.planninginspectorate.gov.uk/wp-content/ipc/uploads/projects/EN010084/EN010084-000676-6.5.11.1_TEOW_LineOfSight.pdf
2,Appendix 16.2–2012 Aviation Impact Assessment ,,,sources/pagerpower/sandy-knowe.pdf,https://sandyknowewindfarm.files.wordpress.com/2018/08/volume-5-appendix-16-2-aviation-impact-assessment.pdf
3,Inch Cape Offshore Windfarm Development TOPA,NATs TOPA,2009/2013,sources/nats/inch-cape-topa.pdf,http://www.inchcapewind.com/files/Environmental_Statement_Structure/Chapter20/Appendix20C.pdf
4,West London Devco Uxbridge Tower Aviation & Radar Report,LoS Analysis,2019,sources/pagerpower/uxbridge-tower.pdf,https://mk0pagerpower88r0x2o.kinstacdn.com/wp-content/uploads/2019/03/AviationRiskReport_EXAMPLE.pdf
5,Haggs Hall Farm Windfarm development TOPA,NATs TOPA,2014,sources/nats/haggs-hall-farm.pdf,https://www.ribblevalley.gov.uk/planx_downloads/14_0538_NATS_reasons_for_objection_1.pdf
6,Duckduckgo cached search result fragment,Cached Search Result,Unknown,sources/webcache/crawley.txt,https://duckduckgo.com/?q=nerl+Technical+and+Operational+Assessment+gatwick&t=ffab&ia=web
7,Swan Valley Windfarm TOPA,NATs TOPA,2014,sources/nats/swan-valley.pdf,http://snc.planning-register.co.uk/DisplayImage.aspx?doc=cmVjb3JkX251bWJlcj03NDE2OSZmaWxlbmFtZT1cXHNuY2xpdmUuZ292LnVrXEFwcERhdGFcREVGX0ZsYXRGaWxlc1xQbGFubmluZ1xTLTIwMTQtMjQ5Ni1FSUFcQXBwZW5kaXggMTAuMS5wZGYmaW1hZ2VfbnVtYmVyPTUzJmltYWdlX3R5cGU9cGxhbm5pbmcmbGFzdF9tb2RpZmllZF9mcm9tX2Rpc2s9MDEvMDEvMDAwMSAwMDowMDowMA==
8,Aviation Technical Appendix for Harryburn wind farm,Aviation assessment (includes TOPA),2017,sources/coleman/harryburn.pdf,https://iam.innogy.com/-/media/innogy/documents/ueber-innogy/innogy-Innovation-und-Technik/harryburn-wind-farm/vol-4-technical-appendices/ta-16-1-aviation.pdf
9,Shepherds' Rig Wind Farm EIA Report,Aviation assessment,2018,sources/infinergy/shepherd-rig,http://www.shepherdsrigwindfarm.co.uk/files/Vol1%20written/Chapter_16_Aviation.pdf
10,Inch Cape Military and Civil Aviation Impact Assessment,Aviation assessment,2013,sources/osprey/inch-cape.pdf,http://www.inchcapewind.com/files/Environmental_Statement_Structure/Chapter20/Appendix20A.pdf
11,Inch Cape Human Environment MILITARY AND CIVIL AVIATION,Aviation assessment,~2013,sources/other-wind/inch-cape.pdf,http://www.inchcapewind.com/files/Environmental_Statement_Structure/Chapter20/Chapter20.pdf
12,SeaGreen Offshore 2A(i): Airspace Change Design Options,Aviation assessment,2019,sources/other-wind/seagreen.pdf,https://airspacechange.caa.co.uk/umbraco/Surface/PublicSurface/DownloadDocument/867
13,Moray offshore initial Aviation Assessment ,Aviation assessment,2010,sources/other-wind/moray.pdf,https://www.morayeast.com/application/files/3015/8014/0871/Appendix-5-3-A-Initial-Aviation-Assessment.pdf
14,Barville Wind TurbineNon-Technical Summary,Aviation assessment,2013,sources/other-wind/barville-farm.pdf,https://www.iema.net/assets/nts/LDA_Design/Barville_Wind_Turbine_NTS_September_2013.pdf
15,Tesco Hookwood TOPA,NATs TOPA,2009,sources/nats/tesco.pdf,https://www.molevalley.gov.uk/CausewayDocList/DocServlet?ref=MO/2009/0041&docid=455364
16,Neslam Farm TOPA,NATs TOPA,2009,sources/nats/neslam-farm.pdf,http://planning.southkesteven.gov.uk/SKDC/S09-0296/1356116.pdf
